datetime,close,low,high,volume,open,_id
2019-01-01 09:15:00,73.1,72.55,73.45,11022,73.4,6433dc74a05123d5fac458ed
2019-01-01 10:15:00,73.3,72.1,73.5,2212,73.1,6433dc74a05123d5fac458ee
2019-01-01 11:15:00,73.0,73.0,73.3,513,73.3,6433dc74a05123d5fac458ef
2019-01-01 12:15:00,72.8,72.1,73.0,567,73.0,6433dc74a05123d5fac458f0
2019-01-01 13:15:00,73.2,72.7,73.2,311,72.8,6433dc74a05123d5fac458f1
2019-01-01 14:15:00,72.8,72.2,72.8,1759,72.55,6433dc74a05123d5fac458f2
2019-01-01 15:15:00,72.55,72.4,73.1,1120,72.8,6433dc74a05123d5fac458f3
2019-01-02 09:15:00,75.7,72.4,75.7,37987,72.55,6433dc74a05123d5fac458f4
2019-01-02 10:15:00,81.55,75.1,83.4,234663,75.7,6433dc74a05123d5fac458f5
2019-01-02 11:15:00,81.0,80.3,81.7,67853,81.55,6433dc74a05123d5fac458f6
2019-01-02 12:15:00,79.2,78.1,81.25,42674,81.25,6433dc74a05123d5fac458f7
2019-01-02 13:15:00,77.85,77.4,79.4,19924,79.2,6433dc74a05123d5fac458f8
2019-01-02 14:15:00,78.85,77.4,79.8,43759,77.85,6433dc74a05123d5fac458f9
2019-01-02 15:15:00,78.3,77.75,78.65,21510,78.55,6433dc74a05123d5fac458fa
2019-01-03 09:15:00,77.9,77.1,79.35,20128,79.35,6433dc74a05123d5fac458fb
2019-01-03 10:15:00,76.55,76.1,77.95,9489,77.9,6433dc74a05123d5fac458fc
2019-01-03 11:15:00,76.9,76.25,76.9,2145,76.55,6433dc74a05123d5fac458fd
2019-01-03 12:15:00,76.6,75.9,77.7,13020,76.9,6433dc74a05123d5fac458fe
2019-01-03 13:15:00,75.95,75.95,76.75,2013,76.6,6433dc74a05123d5fac458ff
2019-01-03 14:15:00,75.5,75.2,75.95,5482,75.95,6433dc74a05123d5fac45900
2019-01-03 15:15:00,74.65,74.05,75.5,8792,75.5,6433dc74a05123d5fac45901
2019-01-04 09:15:00,78.75,75.0,81.0,95306,76.2,6433dc74a05123d5fac45902
2019-01-04 10:15:00,77.25,77.25,78.8,9550,78.75,6433dc74a05123d5fac45903
2019-01-04 11:15:00,77.4,77.0,77.6,4070,77.15,6433dc74a05123d5fac45904
2019-01-04 12:15:00,76.5,76.2,77.4,7763,77.4,6433dc74a05123d5fac45905
2019-01-04 13:15:00,76.65,76.25,77.0,3930,76.5,6433dc74a05123d5fac45906
2019-01-04 14:15:00,75.4,75.1,76.9,19655,76.75,6433dc74a05123d5fac45907
2019-01-04 15:15:00,75.5,75.2,75.65,8107,75.4,6433dc74a05123d5fac45908
2019-01-07 09:15:00,77.2,76.55,79.85,12407,78.0,6433dc74a05123d5fac45909
2019-01-07 10:15:00,77.15,76.75,77.4,3490,76.8,6433dc74a05123d5fac4590a
2019-01-07 11:15:00,77.2,76.8,78.0,3470,77.15,6433dc74a05123d5fac4590b
2019-01-07 12:15:00,77.45,77.2,78.0,20038,77.2,6433dc74a05123d5fac4590c
2019-01-07 13:15:00,77.25,76.55,77.8,24999,77.45,6433dc74a05123d5fac4590d
2019-01-07 14:15:00,76.9,76.55,77.25,2178,77.25,6433dc74a05123d5fac4590e
2019-01-07 15:15:00,77.0,76.75,77.1,2006,76.9,6433dc74a05123d5fac4590f
2019-01-08 09:15:00,76.5,76.25,78.0,7998,77.9,6433dc74a05123d5fac45910
2019-01-08 10:15:00,76.1,76.05,76.85,1916,76.85,6433dc74a05123d5fac45911
2019-01-08 11:15:00,75.9,75.5,76.55,1047,76.1,6433dc74a05123d5fac45912
2019-01-08 12:15:00,75.5,75.35,76.2,4837,75.9,6433dc74a05123d5fac45913
2019-01-08 13:15:00,76.0,75.4,76.35,1177,75.5,6433dc74a05123d5fac45914
2019-01-08 14:15:00,75.65,75.3,76.0,4650,76.0,6433dc74a05123d5fac45915
2019-01-08 15:15:00,75.35,75.3,75.6,1788,75.6,6433dc74a05123d5fac45916
2019-01-09 09:15:00,75.75,75.0,76.8,6836,76.05,6433dc74a05123d5fac45917
2019-01-09 10:15:00,75.5,75.1,76.8,5018,75.75,6433dc74a05123d5fac45918
2019-01-09 11:15:00,75.35,75.3,75.7,745,75.5,6433dc74a05123d5fac45919
2019-01-09 12:15:00,75.05,75.05,75.4,1671,75.35,6433dc74a05123d5fac4591a
2019-01-09 13:15:00,75.1,74.5,75.3,2954,75.05,6433dc74a05123d5fac4591b
2019-01-09 14:15:00,74.7,74.6,75.25,1708,75.1,6433dc74a05123d5fac4591c
2019-01-09 15:15:00,74.6,74.1,74.7,3427,74.7,6433dc74a05123d5fac4591d
2019-01-10 09:15:00,74.8,74.1,76.0,9731,74.6,6433dc74a05123d5fac4591e
2019-01-10 10:15:00,74.8,74.3,75.1,1170,74.8,6433dc74a05123d5fac4591f
2019-01-10 11:15:00,75.3,74.8,75.5,880,74.8,6433dc74a05123d5fac45920
2019-01-10 12:15:00,74.85,74.85,75.35,1230,75.3,6433dc74a05123d5fac45921
2019-01-10 13:15:00,75.0,74.8,75.15,1441,75.0,6433dc74a05123d5fac45922
2019-01-10 14:15:00,74.55,74.45,75.2,3372,75.2,6433dc74a05123d5fac45923
2019-01-10 15:15:00,74.75,74.5,74.8,2702,74.55,6433dc74a05123d5fac45924
2019-01-11 09:15:00,75.15,74.3,75.75,9238,74.8,6433dc74a05123d5fac45925
2019-01-11 10:15:00,75.4,75.0,75.6,3519,75.05,6433dc74a05123d5fac45926
2019-01-11 11:15:00,75.05,75.0,75.4,1440,75.4,6433dc74a05123d5fac45927
2019-01-11 12:15:00,77.0,75.05,77.65,7854,75.05,6433dc74a05123d5fac45928
2019-01-11 13:15:00,77.15,76.5,77.3,6458,77.0,6433dc74a05123d5fac45929
2019-01-11 14:15:00,77.6,76.5,78.7,20293,77.15,6433dc74a05123d5fac4592a
2019-01-11 15:15:00,80.0,77.1,80.75,33550,77.75,6433dc74a05123d5fac4592b
2019-01-14 09:15:00,79.5,77.55,81.8,16872,79.3,6433dc74a05123d5fac4592c
2019-01-14 10:15:00,78.0,78.0,79.5,6210,79.5,6433dc74a05123d5fac4592d
2019-01-14 11:15:00,78.95,78.0,79.15,1782,78.0,6433dc74a05123d5fac4592e
2019-01-14 12:15:00,79.0,78.95,79.65,2395,78.95,6433dc74a05123d5fac4592f
2019-01-14 13:15:00,79.5,79.0,79.9,2204,79.0,6433dc74a05123d5fac45930
2019-01-14 14:15:00,79.25,79.0,79.65,12664,79.5,6433dc74a05123d5fac45931
2019-01-14 15:15:00,81.45,79.25,81.5,13407,79.25,6433dc74a05123d5fac45932
2019-01-15 09:15:00,79.75,79.35,81.0,12366,80.3,6433dc74a05123d5fac45933
2019-01-15 10:15:00,79.25,79.25,80.2,4240,79.75,6433dc74a05123d5fac45934
2019-01-15 11:15:00,82.45,79.25,83.5,44439,79.25,6433dc74a05123d5fac45935
2019-01-15 12:15:00,82.7,82.1,82.95,5321,82.45,6433dc74a05123d5fac45936
2019-01-15 13:15:00,81.75,81.5,82.7,3386,82.7,6433dc74a05123d5fac45937
2019-01-15 14:15:00,81.75,81.75,82.25,24089,81.95,6433dc74a05123d5fac45938
2019-01-15 15:15:00,82.6,81.75,83.0,15753,81.75,6433dc74a05123d5fac45939
2019-01-16 09:15:00,82.6,80.2,82.95,18592,82.9,6433dc74a05123d5fac4593a
2019-01-16 10:15:00,81.8,81.8,82.75,5659,82.6,6433dc74a05123d5fac4593b
2019-01-16 11:15:00,81.6,81.6,82.0,2329,81.8,6433dc74a05123d5fac4593c
2019-01-16 12:15:00,82.5,81.6,82.55,2038,81.65,6433dc74a05123d5fac4593d
2019-01-16 13:15:00,82.6,82.25,82.9,2882,82.5,6433dc74a05123d5fac4593e
2019-01-16 14:15:00,82.45,82.0,82.8,5186,82.6,6433dc74a05123d5fac4593f
2019-01-16 15:15:00,82.0,81.6,82.5,2210,82.45,6433dc74a05123d5fac45940
2019-01-17 09:15:00,82.45,80.7,82.85,9712,82.75,6433dc74a05123d5fac45941
